2013-05-10 03:13:01 status unpacked libcomerr2:armhf 1.42.5-1.1
2013-05-10 03:13:01 install libss2:armhf <none> 1.42.5-1.1
2013-05-10 03:13:01 status half-installed libss2:armhf 1.42.5-1.1
2013-05-10 03:13:01 status unpacked libss2:armhf 1.42.5-1.1
2013-05-10 03:13:02 status unpacked libss2:armhf 1.42.5-1.1
2013-05-10 03:13:02 install libc-bin:armhf <none> 2.13-38
2013-05-10 03:13:02 status half-installed libc-bin:armhf 2.13-38
2013-05-10 03:13:02 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:02 status unpacked libc-bin:armhf 2.13-38
2013-05-10 03:13:02 upgrade libc6:armhf 2.13-38 2.13-38
2013-05-10 03:13:02 status half-configured libc6:armhf 2.13-38
2013-05-10 03:13:03 status unpacked libc6:armhf 2.13-38
2013-05-10 03:13:03 status half-installed libc6:armhf 2.13-38
2013-05-10 03:13:12 status half-installed libc6:armhf 2.13-38
2013-05-10 03:13:12 status unpacked libc6:armhf 2.13-38
2013-05-10 03:13:12 status unpacked libc6:armhf 2.13-38
2013-05-10 03:13:13 install multiarch-support:armhf <none> 2.13-38
2013-05-10 03:13:13 status half-installed multiarch-support:armhf 2.13-38
2013-05-10 03:13:13 status unpacked multiarch-support:armhf 2.13-38
2013-05-10 03:13:13 status unpacked multiarch-support:armhf 2.13-38
2013-05-10 03:13:13 install findutils:armhf <none> 4.4.2-4
2013-05-10 03:13:13 status half-installed findutils:armhf 4.4.2-4
2013-05-10 03:13:13 status unpacked findutils:armhf 4.4.2-4
2013-05-10 03:13:13 status unpacked findutils:armhf 4.4.2-4
2013-05-10 03:13:13 install gcc-4.7-base:armhf <none> 4.7.2-5
2013-05-10 03:13:13 status half-installed gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:14 status unpacked gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:14 status unpacked gcc-4.7-base:armhf 4.7.2-5
2013-05-10 03:13:14 install libgcc1:armhf <none> 1:4.7.2-5
2013-05-10 03:13:14 status half-installed libgcc1:armhf 1:4.7.2-5
2013-05-10 03:13:14 status unpacked libgcc1:armhf 1:4.7.2-5
2013-05-10 03:13:14 status unpacked libgcc1:armhf 1:4.7.2-5
2013-05-10 03:13:14 install grep:armhf <none> 2.12-2
2013-05-10 03:13:14 status half-installed grep:armhf 2.12-2
2013-05-10 03:13:14 status unpacked grep:armhf 2.12-2
2013-05-10 03:13:14 status unpacked grep:armhf 2.12-2
2013-05-10 03:13:15 install gzip:armhf <none> 1.5-1.1
2013-05-10 03:13:15 status half-installed gzip:armhf 1.5-1.1
2013-05-10 03:13:15 status unpacked gzip:armhf 1.5-1.1
2013-05-10 03:13:15 status unpacked gzip:armhf 1.5-1.1
2013-05-10 03:13:15 install hostname:armhf <none> 3.11
2013-05-10 03:13:15 status half-installed hostname:armhf 3.11
2013-05-10 03:13:15 status unpacked hostname:armhf 3.11
